 t slip_2 slip_3 slip_rate_2 slip_rate_3 shear_stress_2 shear_stress_3 state
0 0.0 0.0 0.0 -9.06016 -16.1185 -32.20000076294 -2.815013582818e-06 7.602059993903
1 4.73078429148 4.11943e-09 2.053020546898e-15 -9.06003 -15.0224 -32.20010000046 3.511537071808e-05 7.602060000541
2 21.76648428479 1.89666e-08 5.709296908309e-14 -9.05931 -14.2108 -32.20063658948 0.0002272089400712 7.602060024303
3 30.79169488441 2.68476e-08 1.4093685573109997e-13 -9.05812 -13.832 -32.20153059844 0.0005420500776046 7.602060036726
4 32.87664990357 2.86741e-08 1.811628970551e-13 -9.05629 -13.5535 -32.20289919146 0.001024792554358 7.602060039532
5 33.54150115693 2.92597e-08 2.0526068972869997e-13 -9.05347 -13.3136 -32.20500721673 0.001769192960188 7.602060040393
6 33.75324906029 2.94473e-08 2.1696290055819997e-13 -9.05153 -13.201 -32.20646208242 0.002282821524948 7.602060040655
7 33.8591472431 2.95415e-08 2.2412090051669998e-13 -9.05024 -13.1396 -32.207422625 0.002621829257059 7.602060040782
8 33.94458044089 2.96177e-08 2.306879014086e-13 -9.04905 -13.0893 -32.20831455367 0.002935849321345 7.602060040882
9 34.04232481774 2.97051e-08 2.39200088007e-13 -9.04752 -13.0318 -32.20946207399 0.003339858956124 7.602060040994
10 34.13040750488 2.97842e-08 2.478878863678e-13 -9.04598 -12.9805 -32.21061091721 0.003744853340214 7.602060041092
11 34.23256087652 2.98763e-08 2.5932074070129996e-13 -9.04402 -12.923 -32.2120761095 0.0042563398412 7.602060041201
12 34.32335024256 2.99585e-08 2.708112353201e-13 -9.04213 -12.8728 -32.21349094116 0.004757415891973 7.602060041294
13 34.41970581039 3.00462e-08 2.845155722949e-13 -9.03999 -12.8226 -32.21509641066 0.005314488249148 7.602060041388
14 34.51017379633 3.01289e-08 2.9886615336819995e-13 -9.03786 -12.7769 -32.21668934178 0.005874781556222 7.602060041473
15 34.6079633165 3.02188e-08 3.1614414080299996e-13 -9.03545 -12.7301 -32.21849454128 0.006508398784659 7.602060041559
16 34.70816153103 3.03114e-08 3.357823768677e-13 -9.03288 -12.6856 -32.22041861826 0.007168849944636 7.602060041641
17 34.81291092943 3.04088e-08 3.586119629051e-13 -9.03011 -12.6392 -32.22249147789 0.007926325276704 7.60206004172
18 34.90933369178 3.0499e-08 3.8171019191119997e-13 -9.02751 -12.6025 -32.22443664954 0.00857413144681 7.602060041788
19 35.02345132923 3.06065e-08 4.117243717445e-13 -9.02439 -12.5582 -32.22676845053 0.009428043393412 7.602060041859
20 35.14062519384 3.07177e-08 4.4574469217099997e-13 -9.02117 -12.5171 -32.22917681107 0.0102869737021 7.602060041924
21 35.2606344602 3.08325e-08 4.839282401502e-13 -9.01787 -12.4779 -32.23164443299 0.01117515596196 7.602060041982
22 35.38033105497 3.09478e-08 5.255330830720999e-13 -9.01459 -12.4413 -32.23409948152 0.01206623804243 7.602060042029
23 35.53163596824 3.10948e-08 5.827909762029999e-13 -9.01047 -12.4038 -32.23718622188 0.01303238843716 7.602060042076
24 35.66847707448 3.12289e-08 6.389379726268e-13 -9.00676 -12.3698 -32.23996003707 0.01397561940341 7.602060042105
25 35.80877604784 3.13677e-08 7.014179573019e-13 -9.00297 -12.3331 -32.24279473576 0.01507602598381 7.602060042122
26 35.93270917836 3.14912e-08 7.61013786378e-13 -8.99964 -12.3038 -32.24529078151 0.01600650862227 7.602060042126
27 36.09100901566 3.16504e-08 8.426216880415999e-13 -8.99539 -12.2726 -32.24846891633 0.01703334294851 7.602060042116
28 36.23463127743 3.17962e-08 9.217592496006998e-13 -8.99154 -12.2451 -32.25134998523 0.01798756068527 7.602060042093
29 36.38707708159 3.19524e-08 1.011577961211e-12 -8.98743 -12.2142 -32.25441996963 0.01913292891941 7.602060042052
30 36.54131797652 3.21119e-08 1.109219802281e-12 -8.98328 -12.1836 -32.25753088032 0.02033593286313 7.602060041995
31 36.70347316577 3.22813e-08 1.21901314407e-12 -8.97889 -12.1558 -32.26080845867 0.02146777516058 7.602060041916
32 36.85866888402 3.2445e-08 1.330574231917e-12 -8.97467 -12.1313 -32.26396612533 0.02249635210816 7.602060041824
33 37.02339547005 3.26206e-08 1.456145591004e-12 -8.97016 -12.1041 -32.26734638877 0.02370542914997 7.602060041707
34 37.19360957399 3.28039e-08 1.594701993933e-12 -8.96544 -12.0753 -32.27087128707 0.02505872687549 7.602060041564
35 37.3555954527 3.29802e-08 1.7348490869080001e-12 -8.9609 -12.0509 -32.2742691314 0.02623111497752 7.602060041409
36 37.52696519587 3.31688e-08 1.891725763744e-12 -8.95603 -12.0258 -32.27791326766 0.02748700799425 7.602060041222
37 37.68192994979 3.33411e-08 2.041909824267e-12 -8.95155 -12.0013 -32.28126445669 0.02878689904757 7.602060041033
38 37.83575699985 3.3514e-08 2.1995392317820002e-12 -8.94703 -11.9781 -32.28464555054 0.03005893135298 7.602060040826
39 38.01141082735 3.37136e-08 2.389468918045e-12 -8.94178 -11.9544 -32.28857795157 0.03136629950708 7.602060040566
40 38.18522646049 3.39136e-08 2.587938104013e-12 -8.93645 -11.9301 -32.29256209699 0.03276668986703 7.602060040282
41 38.35013183559 3.41056e-08 2.787269933256e-12 -8.93127 -11.9054 -32.29643510763 0.03427919080112 7.602060039987
