Benchmark: bp4-qd (Strike-Slip Fault in a 3D Wholespace)
 
User: barbot.6 (Motorcycle, SBEM, dx=500m, W=120, L=120)
 
File: fltst_strk+000dp+210 (x2 = +0.00, x3 = +21.0 km)
            

# problem=Benchmark problem (BP4-QD)
# author=Sylvain Barbot
# date=Tue Mar 30 22:47:12 PDT 2021
# code=motorcycle-3d-ratestate
# code_version=beta
# element_size=500 m
# minimum_time_step=0.001
# maximum_time_step=12642527.3214
# num_time_steps=2932
# location=on fault, km depth
# Column #1 = Time (s)
# Column #2 = Slip_2 (m)
# Column #3 = Slip_3 (m)
# Column #4 = Slip_rate_2 (log10 m/s)
# Column #5 = Slip_rate_3 (log10 m/s)
# Column #6 = Shear_stress_2 (MPa)
# Column #7 = Shear_stress_3 (MPa)
# Column #8 = State (log10 s)
# The line below lists the names of the data fields
t slip_2 slip_3 slip_rate_2 slip_rate_3 shear_stress_2 shear_stress_3 state
# Here is the time-series data.
0.000000000000E+00 0 0.000000000000E+000 -8.98449 -16.0429 -2.589999961853E+001 -2.264249968747E-006 7.602059993903E+000
4.730784291480E+00 4.90314e-09 -5.468652610018E-015 -8.98443 -14.6536 -2.590015994901E+001 -5.548590257793E-005 7.602059992032E+000
2.176648428479E+01 2.2566e-08 -1.212782458355E-013 -8.98413 -13.8997 -2.590102415490E+001 -3.145677746445E-004 7.602059985223E+000
3.079169488441E+01 3.1931e-08 -2.903170927560E-013 -8.98363 -13.533 -2.590245764428E+001 -7.311397753311E-004 7.602059981534E+000
3.287664990357E+01 3.40973e-08 -3.698772576668E-013 -8.98287 -13.2603 -2.590464744231E+001 -1.367413401766E-003 7.602059980650E+000
3.354150115693E+01 3.47897e-08 -4.170166187649E-013 -8.9817 -13.0239 -2.590802470321E+001 -2.350682872764E-003 7.602059980351E+000
3.375324906029E+01 3.50107e-08 -4.397758413196E-013 -8.98089 -12.9129 -2.591035864415E+001 -3.030239855240E-003 7.602059980250E+000
